"competition","season","country","competition_type","matchday","match_date","home_team","away_team","stadium","city","home_score","away_score","status","is_friendly","source","external_id"
"LaLiga","2025/2026","Spain","domestic_league","","2025-10-04T20:00:00+00:00","Real Madrid","Villarreal","","","3","1","finished","false","datahub-football-data","laliga-2025-2026-2025-10-04-real-madrid-villarreal"
"LaLiga","2025/2026","Spain","domestic_league","","2025-10-05T20:00:00+00:00","Alaves","Elche","","","3","1","finished","false","datahub-football-data","laliga-2025-2026-2025-10-05-alaves-elche"
"LaLiga","2025/2026","Spain","domestic_league","","2025-10-05T20:00:00+00:00","Sevilla","Barcelona","","","4","1","finished","false","datahub-football-data","laliga-2025-2026-2025-10-05-sevilla-barcelona"
"LaLiga","2025/2026","Spain","domestic_league","","2025-10-05T20:00:00+00:00","Espanol","Betis","","","1","2","finished","false","datahub-football-data","laliga-2025-2026-2025-10-05-espanol-betis"
"LaLiga","2025/2026","Spain","domestic_league","","2025-10-05T20:00:00+00:00","Sociedad","Vallecano","","","0","1","finished","false","datahub-football-data","laliga-2025-2026-2025-10-05-sociedad-vallecano"
"LaLiga","2025/2026","Spain","domestic_league","","2025-10-05T20:00:00+00:00","Celta","Ath Madrid","","","1","1","finished","false","datahub-football-data","laliga-2025-2026-2025-10-05-celta-ath-madrid"
"LaLiga","2025/2026","Spain","domestic_league","","2025-10-17T20:00:00+00:00","Oviedo","Espanol","","","0","2","finished","false","datahub-football-data","laliga-2025-2026-2025-10-17-oviedo-espanol"
"LaLiga","2025/2026","Spain","domestic_league","","2025-10-18T20:00:00+00:00","Sevilla","Mallorca","","","1","3","finished","false","datahub-football-data","laliga-2025-2026-2025-10-18-sevilla-mallorca"
"LaLiga","2025/2026","Spain","domestic_league","","2025-10-18T20:00:00+00:00","Barcelona","Girona","","","2","1","finished","false","datahub-football-data","laliga-2025-2026-2025-10-18-barcelona-girona"
"LaLiga","2025/2026","Spain","domestic_league","","2025-10-18T20:00:00+00:00","Villarreal","Betis","","","2","2","finished","false","datahub-football-data","laliga-2025-2026-2025-10-18-villarreal-betis"
"LaLiga","2025/2026","Spain","domestic_league","","2025-10-18T20:00:00+00:00","Ath Madrid","Osasuna","","","1","0","finished","false","datahub-football-data","laliga-2025-2026-2025-10-18-ath-madrid-osasuna"
"LaLiga","2025/2026","Spain","domestic_league","","2025-10-19T20:00:00+00:00","Elche","Ath Bilbao","","","0","0","finished","false","datahub-football-data","laliga-2025-2026-2025-10-19-elche-ath-bilbao"
"LaLiga","2025/2026","Spain","domestic_league","","2025-10-19T20:00:00+00:00","Celta","Sociedad","","","1","1","finished","false","datahub-football-data","laliga-2025-2026-2025-10-19-celta-sociedad"
"LaLiga","2025/2026","Spain","domestic_league","","2025-10-19T20:00:00+00:00","Levante","Vallecano","","","0","3","finished","false","datahub-football-data","laliga-2025-2026-2025-10-19-levante-vallecano"
"LaLiga","2025/2026","Spain","domestic_league","","2025-10-19T20:00:00+00:00","Getafe","Real Madrid","","","0","1","finished","false","datahub-football-data","laliga-2025-2026-2025-10-19-getafe-real-madrid"
"LaLiga","2025/2026","Spain","domestic_league","","2025-10-20T20:00:00+00:00","Alaves","Valencia","","","0","0","finished","false","datahub-football-data","laliga-2025-2026-2025-10-20-alaves-valencia"
"LaLiga","2025/2026","Spain","domestic_league","","2025-10-24T20:00:00+00:00","Sociedad","Sevilla","","","2","1","finished","false","datahub-football-data","laliga-2025-2026-2025-10-24-sociedad-sevilla"
"LaLiga","2025/2026","Spain","domestic_league","","2025-10-25T20:00:00+00:00","Girona","Oviedo","","","3","3","finished","false","datahub-football-data","laliga-2025-2026-2025-10-25-girona-oviedo"
"LaLiga","2025/2026","Spain","domestic_league","","2025-10-25T20:00:00+00:00","Espanol","Elche","","","1","0","finished","false","datahub-football-data","laliga-2025-2026-2025-10-25-espanol-elche"
"LaLiga","2025/2026","Spain","domestic_league","","2025-10-25T20:00:00+00:00","Ath Bilbao","Getafe","","","0","1","finished","false","datahub-football-data","laliga-2025-2026-2025-10-25-ath-bilbao-getafe"
"LaLiga","2025/2026","Spain","domestic_league","","2025-10-25T20:00:00+00:00","Valencia","Villarreal","","","0","2","finished","false","datahub-football-data","laliga-2025-2026-2025-10-25-valencia-villarreal"
"LaLiga","2025/2026","Spain","domestic_league","","2025-10-26T20:00:00+00:00","Mallorca","Levante","","","1","1","finished","false","datahub-football-data","laliga-2025-2026-2025-10-26-mallorca-levante"
"LaLiga","2025/2026","Spain","domestic_league","","2025-10-26T20:00:00+00:00","Real Madrid","Barcelona","","","2","1","finished","false","datahub-football-data","laliga-2025-2026-2025-10-26-real-madrid-barcelona"
"LaLiga","2025/2026","Spain","domestic_league","","2025-10-26T20:00:00+00:00","Osasuna","Celta","","","2","3","finished","false","datahub-football-data","laliga-2025-2026-2025-10-26-osasuna-celta"
"LaLiga","2025/2026","Spain","domestic_league","","2025-10-26T20:00:00+00:00","Vallecano","Alaves","","","1","0","finished","false","datahub-football-data","laliga-2025-2026-2025-10-26-vallecano-alaves"
"LaLiga","2025/2026","Spain","domestic_league","","2025-10-27T20:00:00+00:00","Betis","Ath Madrid","","","0","2","finished","false","datahub-football-data","laliga-2025-2026-2025-10-27-betis-ath-madrid"
"LaLiga","2025/2026","Spain","domestic_league","","2025-10-31T20:00:00+00:00","Getafe","Girona","","","2","1","finished","false","datahub-football-data","laliga-2025-2026-2025-10-31-getafe-girona"
"LaLiga","2025/2026","Spain","domestic_league","","2025-11-01T20:00:00+00:00","Villarreal","Vallecano","","","4","0","finished","false","datahub-football-data","laliga-2025-2026-2025-11-01-villarreal-vallecano"
"LaLiga","2025/2026","Spain","domestic_league","","2025-11-01T20:00:00+00:00","Ath Madrid","Sevilla","","","3","0","finished","false","datahub-football-data","laliga-2025-2026-2025-11-01-ath-madrid-sevilla"
"LaLiga","2025/2026","Spain","domestic_league","","2025-11-01T20:00:00+00:00","Sociedad","Ath Bilbao","","","3","2","finished","false","datahub-football-data","laliga-2025-2026-2025-11-01-sociedad-ath-bilbao"
"LaLiga","2025/2026","Spain","domestic_league","","2025-11-01T20:00:00+00:00","Real Madrid","Valencia","","","4","0","finished","false","datahub-football-data","laliga-2025-2026-2025-11-01-real-madrid-valencia"
"LaLiga","2025/2026","Spain","domestic_league","","2025-11-02T20:00:00+00:00","Levante","Celta","","","1","2","finished","false","datahub-football-data","laliga-2025-2026-2025-11-02-levante-celta"
"LaLiga","2025/2026","Spain","domestic_league","","2025-11-02T20:00:00+00:00","Alaves","Espanol","","","2","1","finished","false","datahub-football-data","laliga-2025-2026-2025-11-02-alaves-espanol"
"LaLiga","2025/2026","Spain","domestic_league","","2025-11-02T20:00:00+00:00","Barcelona","Elche","","","3","1","finished","false","datahub-football-data","laliga-2025-2026-2025-11-02-barcelona-elche"
"LaLiga","2025/2026","Spain","domestic_league","","2025-11-02T20:00:00+00:00","Betis","Mallorca","","","3","0","finished","false","datahub-football-data","laliga-2025-2026-2025-11-02-betis-mallorca"
"LaLiga","2025/2026","Spain","domestic_league","","2025-11-03T20:00:00+00:00","Oviedo","Osasuna","","","0","0","finished","false","datahub-football-data","laliga-2025-2026-2025-11-03-oviedo-osasuna"
"LaLiga","2025/2026","Spain","domestic_league","","2025-11-07T20:00:00+00:00","Elche","Sociedad","","","1","1","finished","false","datahub-football-data","laliga-2025-2026-2025-11-07-elche-sociedad"
"LaLiga","2025/2026","Spain","domestic_league","","2025-11-08T20:00:00+00:00","Girona","Alaves","","","1","0","finished","false","datahub-football-data","laliga-2025-2026-2025-11-08-girona-alaves"
"LaLiga","2025/2026","Spain","domestic_league","","2025-11-08T20:00:00+00:00","Sevilla","Osasuna","","","1","0","finished","false","datahub-football-data","laliga-2025-2026-2025-11-08-sevilla-osasuna"
"LaLiga","2025/2026","Spain","domestic_league","","2025-11-08T20:00:00+00:00","Ath Madrid","Levante","","","3","1","finished","false","datahub-football-data","laliga-2025-2026-2025-11-08-ath-madrid-levante"
"LaLiga","2025/2026","Spain","domestic_league","","2025-11-08T20:00:00+00:00","Espanol","Villarreal","","","0","2","finished","false","datahub-football-data","laliga-2025-2026-2025-11-08-espanol-villarreal"
"LaLiga","2025/2026","Spain","domestic_league","","2025-11-09T20:00:00+00:00","Ath Bilbao","Oviedo","","","1","0","finished","false","datahub-football-data","laliga-2025-2026-2025-11-09-ath-bilbao-oviedo"
"LaLiga","2025/2026","Spain","domestic_league","","2025-11-09T20:00:00+00:00","Vallecano","Real Madrid","","","0","0","finished","false","datahub-football-data","laliga-2025-2026-2025-11-09-vallecano-real-madrid"
"LaLiga","2025/2026","Spain","domestic_league","","2025-11-09T20:00:00+00:00","Mallorca","Getafe","","","1","0","finished","false","datahub-football-data","laliga-2025-2026-2025-11-09-mallorca-getafe"
"LaLiga","2025/2026","Spain","domestic_league","","2025-11-09T20:00:00+00:00","Valencia","Betis","","","1","1","finished","false","datahub-football-data","laliga-2025-2026-2025-11-09-valencia-betis"
"LaLiga","2025/2026","Spain","domestic_league","","2025-11-09T20:00:00+00:00","Celta","Barcelona","","","2","4","finished","false","datahub-football-data","laliga-2025-2026-2025-11-09-celta-barcelona"
"LaLiga","2025/2026","Spain","domestic_league","","2025-11-21T20:00:00+00:00","Valencia","Levante","","","1","0","finished","false","datahub-football-data","laliga-2025-2026-2025-11-21-valencia-levante"
"LaLiga","2025/2026","Spain","domestic_league","","2025-11-22T20:00:00+00:00","Alaves","Celta","","","0","1","finished","false","datahub-football-data","laliga-2025-2026-2025-11-22-alaves-celta"
"LaLiga","2025/2026","Spain","domestic_league","","2025-11-22T20:00:00+00:00","Barcelona","Ath Bilbao","","","4","0","finished","false","datahub-football-data","laliga-2025-2026-2025-11-22-barcelona-ath-bilbao"
"LaLiga","2025/2026","Spain","domestic_league","","2025-11-22T20:00:00+00:00","Osasuna","Sociedad","","","1","3","finished","false","datahub-football-data","laliga-2025-2026-2025-11-22-osasuna-sociedad"
"LaLiga","2025/2026","Spain","domestic_league","","2025-11-22T20:00:00+00:00","Villarreal","Mallorca","","","2","1","finished","false","datahub-football-data","laliga-2025-2026-2025-11-22-villarreal-mallorca"
"LaLiga","2025/2026","Spain","domestic_league","","2025-11-23T20:00:00+00:00","Oviedo","Vallecano","","","0","0","finished","false","datahub-football-data","laliga-2025-2026-2025-11-23-oviedo-vallecano"
"LaLiga","2025/2026","Spain","domestic_league","","2025-11-23T20:00:00+00:00","Betis","Girona","","","1","1","finished","false","datahub-football-data","laliga-2025-2026-2025-11-23-betis-girona"
"LaLiga","2025/2026","Spain","domestic_league","","2025-11-23T20:00:00+00:00","Getafe","Ath Madrid","","","0","1","finished","false","datahub-football-data","laliga-2025-2026-2025-11-23-getafe-ath-madrid"
"LaLiga","2025/2026","Spain","domestic_league","","2025-11-23T20:00:00+00:00","Elche","Real Madrid","","","2","2","finished","false","datahub-football-data","laliga-2025-2026-2025-11-23-elche-real-madrid"
"LaLiga","2025/2026","Spain","domestic_league","","2025-11-24T20:00:00+00:00","Espanol","Sevilla","","","2","1","finished","false","datahub-football-data","laliga-2025-2026-2025-11-24-espanol-sevilla"
"LaLiga","2025/2026","Spain","domestic_league","","2025-11-28T20:00:00+00:00","Getafe","Elche","","","1","0","finished","false","datahub-football-data","laliga-2025-2026-2025-11-28-getafe-elche"
"LaLiga","2025/2026","Spain","domestic_league","","2025-11-29T20:00:00+00:00","Mallorca","Osasuna","","","2","2","finished","false","datahub-football-data","laliga-2025-2026-2025-11-29-mallorca-osasuna"
"LaLiga","2025/2026","Spain","domestic_league","","2025-11-29T20:00:00+00:00","Barcelona","Alaves","","","3","1","finished","false","datahub-football-data","laliga-2025-2026-2025-11-29-barcelona-alaves"
"LaLiga","2025/2026","Spain","domestic_league","","2025-11-29T20:00:00+00:00","Levante","Ath Bilbao","","","0","2","finished","false","datahub-football-data","laliga-2025-2026-2025-11-29-levante-ath-bilbao"
"LaLiga","2025/2026","Spain","domestic_league","","2025-11-29T20:00:00+00:00","Ath Madrid","Oviedo","","","2","0","finished","false","datahub-football-data","laliga-2025-2026-2025-11-29-ath-madrid-oviedo"
"LaLiga","2025/2026","Spain","domestic_league","","2025-11-30T20:00:00+00:00","Sociedad","Villarreal","","","2","3","finished","false","datahub-football-data","laliga-2025-2026-2025-11-30-sociedad-villarreal"
"LaLiga","2025/2026","Spain","domestic_league","","2025-11-30T20:00:00+00:00","Sevilla","Betis","","","0","2","finished","false","datahub-football-data","laliga-2025-2026-2025-11-30-sevilla-betis"
"LaLiga","2025/2026","Spain","domestic_league","","2025-11-30T20:00:00+00:00","Celta","Espanol","","","0","1","finished","false","datahub-football-data","laliga-2025-2026-2025-11-30-celta-espanol"
"LaLiga","2025/2026","Spain","domestic_league","","2025-11-30T20:00:00+00:00","Girona","Real Madrid","","","1","1","finished","false","datahub-football-data","laliga-2025-2026-2025-11-30-girona-real-madrid"
